"year","ITN"
"2000",0.041011655148198
"2001",0.0324351092136472
"2002",0.039248211421096
"2003",0.0315883341336544
"2004",0.0169525019608098
"2005",0.0240380954478135
"2006",0.0833837974302362
"2007",0.126280981800418
"2008",0.173934840949228
"2009",0.309888328386953
"2010",0.373943446733169
"2011",0.458677457539244
"2012",0.452067229870505
"2013",0.523845089190799
"2014",0.500976806956389
"2015",0.518963569588528
"2016",0.709137837333688
"2017",0.674390344892484
"2018",0.361701056152538
"2019",0.553125565183253
"2020",0.500649510570785
